event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,TP_HIT,982,-1,1.0839430694865702,1.0719430694865701,120.0000000000001,1.0,119.0000000000001,12092.508487795949,26
CLOSE,TP_HIT,1273,-1,1.07209608743031,1.06009608743031,120.0000000000001,1.0,119.0000000000001,13282.508487795949,290
CLOSE,SL_HIT,1387,-1,1.060069816659267,1.069069816659267,-89.99999999999896,1.0,-90.99999999999896,12372.50848779596,113
CLOSE,TP_HIT,1415,-1,1.0670913879321506,1.0580913879321507,89.99999999999896,1.0,88.99999999999896,13262.508487795949,27
CLOSE,SL_HIT,1529,-1,1.0579649051586788,1.0699649051586788,-120.0000000000001,1.0,-121.0000000000001,12052.508487795949,113
CLOSE,SL_HIT,1535,-1,1.0687049740125079,1.0717049740125077,-29.999999999998916,1.0,-30.999999999998916,11742.50848779596,5
CLOSE,TP_HIT,1580,-1,1.0729881524511007,1.0639881524511008,89.99999999999896,1.0,88.99999999999896,12632.508487795949,44
CLOSE,TP_HIT,1583,-1,1.0626800048106584,1.0536800048106585,89.99999999999896,1.0,88.99999999999896,13522.508487795938,2
CLOSE,TP_HIT,1597,1,1.0545288131926998,1.0605288131926998,60.00000000000005,1.0,59.00000000000005,14112.508487795938,13
CLOSE,TP_HIT,1609,1,1.0607066557130311,1.063706655713031,29.999999999998916,1.0,28.999999999998916,14402.508487795927,11
CLOSE,SL_HIT,1644,-1,1.0633537272973894,1.0723537272973893,-89.99999999999896,1.0,-90.99999999999896,13492.508487795938,34
CLOSE,SL_HIT,1665,-1,1.0723649028709883,1.0753649028709882,-29.999999999998916,1.0,-30.999999999998916,13182.508487795949,20
CLOSE,SL_HIT,1690,-1,1.0763212498252956,1.0883212498252957,-120.0000000000001,1.0,-121.0000000000001,11972.508487795949,24
CLOSE,TP_HIT,1706,-1,1.0880602095494534,1.0820602095494534,60.00000000000005,1.0,59.00000000000005,12562.508487795949,15
CLOSE,TP_HIT,1714,-1,1.0825011541460114,1.0735011541460115,89.99999999999896,1.0,88.99999999999896,13452.508487795938,7
CLOSE,SL_HIT,1750,-1,1.072548827717934,1.084548827717934,-120.0000000000001,1.0,-121.0000000000001,12242.508487795938,35
